groupName,groupOrder,taxonOrderBounds
Bristlehead,113,"[[19630.0, 19630.0]]"
Cuckooshrikes,114,"[[18229.0, 18600.0]]"
Australo-Papuan Bellbirds,115,"[[18642.0, 18650.0]]"
Wattle-eyes and Batises,116,"[[19454.0, 19524.0]]"
Bushshrikes and Allies,117,"[[19655.0, 19826.0]]"
Shrikes,118,"[[20634.0, 20769.0]]"
"Catbirds, Mockingbirds, and Thrashers",119,"[[27534.0, 27659.0]]"
Thrushes,120,"[[27661.0, 28290.0]]"
Accentors,121,"[[30964.0, 31011.0]]"
Dippers,122,"[[27196.0, 27224.0]]"
Waxwings,123,"[[29382.0, 29389.0]]"
Silky-flycatchers,124,"[[29397.0, 29406.0]]"
Tit Berrypecker and Crested Berrypecker,125,"[[18659.0, 18666.0]]"
Hypocolius,126,"[[29416.0, 29416.0]]"
Palmchat,127,"[[29410.0, 29410.0]]"
Nicators,128,"[[22434.0, 22437.0]]"
Bulbuls,129,"[[23887.0, 24370.0]]"
Rockjumpers,130,"[[21498.0, 21499.0]]"
Scrub-birds and Bowerbirds,131,"[[17191.0, 17249.0]]"
Lyrebirds,132,"[[17185.0, 17186.0]]"
Whipbirds and Wedgebills,133,"[[18624.0, 18636.0]]"
Quail-thrushes and Jewel-babblers,134,"[[18187.0, 18227.0]]"
Wattlebirds,135,"[[21307.0, 21311.0]]"
Birds-of-Paradise,136,"[[20167.0, 20276.0]]"
Melampittas,137,"[[20623.0, 20627.0]]"
Satinbirds,138,"[[21248.0, 21255.0]]"
Rail-babbler,139,"[[21501.0, 21501.0]]"
Rockfowl,140,"[[21495.0, 21496.0]]"
Honeyeaters,141,"[[17370.0, 17881.0]]"
Hawaiian Honeyeaters,142,"[[29391.0, 29395.0]]"
Stitchbird,143,"[[21313.0, 21313.0]]"
Bristlebirds,144,"[[17883.0, 17887.0]]"
Pseudo-Babblers,145,"[[18162.0, 18176.0]]"
Elachura,146,"[[27194.0, 27194.0]]"
Ground Babblers and Allies,147,"[[25697.0, 25935.0]]"
